% Model,VAM_UC_-_dispersivity_0-07m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:57"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
802000,9.632626435652518E-5
803000,9.584708616805169E-5
804000,9.536811863703767E-5
805000,9.48892130510337E-5
806000,9.441022069759041E-5
807000,9.393099286425829E-5
808000,9.34513808385879E-5
809000,9.297123590812981E-5
810000,9.249040936043459E-5
811000,9.200875248305277E-5
812000,9.152611656353492E-5
813000,9.104235288943162E-5
814000,9.055731274829338E-5
815000,9.007084742767084E-5
816000,8.958280821511445E-5
817000,8.909304639817485E-5
818000,8.860141326440254E-5
819000,8.81077601013481E-5
820000,8.761193819656213E-5
821000,8.711379883759512E-5
822000,8.661319331199764E-5
823000,8.610997290732032E-5
824000,8.560398891111363E-5
825000,8.509509261092817E-5
826000,8.458313529431447E-5
827000,8.406796824882311E-5
828000,8.354944276200464E-5
829000,8.302741012140961E-5
830000,8.250172161458861E-5
831000,8.197222852909217E-5
832000,8.143878215247086E-5
833000,8.09012337722752E-5
834000,8.03594346760558E-5
835000,7.981323615136318E-5
836000,7.92624894857479E-5
837000,7.870704596676055E-5
838000,7.814675688195167E-5
839000,7.75814735188718E-5
840000,7.701104716507152E-5
841000,7.643532910810138E-5
842000,7.585417063551193E-5
843000,7.540440205395421E-5
844000,7.509408031305358E-5
845000,7.478621083123356E-5
846000,7.448072703406422E-5
847000,7.417756234711562E-5
848000,7.387665019595779E-5
849000,7.357792400616088E-5
850000,7.328131720329494E-5
851000,7.298676321293002E-5
852000,7.269419546063622E-5
853000,7.240354737198356E-5
854000,7.211475237254216E-5
855000,7.182774388788207E-5
856000,7.154245534357338E-5
857000,7.125882016518612E-5
858000,7.097677177829041E-5
859000,7.06962436084563E-5
860000,7.041716908125385E-5
861000,7.013948162225313E-5
862000,6.986311465702426E-5
863000,6.958800161113725E-5
864000,6.931407591016221E-5
865000,6.904127097966918E-5
866000,6.876952024522825E-5
867000,6.849875713240951E-5
868000,6.8228915066783E-5
869000,6.795992747391881E-5
870000,6.769172777938698E-5
871000,6.742424940875763E-5
872000,6.71574257876008E-5
873000,6.689119034148657E-5
874000,6.6625476495985E-5
875000,6.636021767666618E-5
876000,6.609534730910016E-5
877000,6.583079881885703E-5
878000,6.556650563150685E-5
879000,6.53024011726197E-5
880000,6.503841886776565E-5
881000,6.477449214251477E-5
882000,6.451055442243712E-5
883000,6.424653913310278E-5
884000,6.398237970008183E-5
885000,6.371800954894432E-5
886000,6.345336210526034E-5
887000,6.318837079459997E-5
888000,6.292296904253326E-5
889000,6.265709027463028E-5
890000,6.23906679164611E-5
891000,6.212363539359583E-5
892000,6.18559261316045E-5
893000,6.158747355605718E-5
894000,6.131821109252397E-5
895000,6.104807216657492E-5
896000,6.0776990203780105E-5
897000,6.050489862970961E-5
898000,6.023173086993348E-5
899000,5.995742035002181E-5
900000,5.968190049554466E-5
901000,5.940510473207211E-5
902000,5.9126966485174216E-5
903000,5.884741918042106E-5
904000,5.856639624338271E-5
905000,5.828383109962923E-5
906000,5.799965717473073E-5
907000,5.7713807894257225E-5
908000,5.742621668377882E-5
909000,5.713681696886558E-5
910000,5.684554217508757E-5
911000,5.655232572801487E-5
912000,5.625710105321756E-5
913000,5.595980157626568E-5
914000,5.566036072272933E-5
915000,5.535871191817857E-5
916000,5.505478858818348E-5
917000,5.474852415831411E-5
918000,5.443985205414055E-5
919000,5.412870570123287E-5
920000,5.3815018525161134E-5
921000,5.349872395149541E-5
